item_id,item_des,clear weight,frequency,rebase weight,,,,,,,,
620308,Minicab fare for journey of 2 miles,2.4,6.7,3.61,,55.56,,,,,,
520331,Basic Manicure,1.04,6.8,1.57,,57.13,,,,,,
220122,RESTAURANT - SWEET COURSE,3.09,7,4.65,,61.78,,,,,,
220316,PIZZA TAKEAWAY OR DELIVERED,2.06,7,3.1,,64.88,,,,,,
440114,WATCH REPAIR-CLEAN AND SERVICE,0.7,7,1.05,,65.93,,,,,,
640207,"Night-club entry, no flyer, (Saturday 11.30pm)",0.8,7.1,1.2,,67.13,,,,,,
440240,BASIC WILL FOR A SINGLE PERSON,1.56,7.2,2.35,,69.48,,,,,,
440118,PC repair (state hour/min/complete)                    ,0.5,7.3,0.75,,70.23,,,,,,
520301,Man's Haircut,1.92,7.3,2.89,,73.12,,,,,,
520323,Full leg wax (both legs),1.28,7.4,1.93,,75.05,,,,,,
520108,Spectacle frames (basic without lenses),1.08,7.5,1.63,,76.68,,,,,,
620303,Self Drive Van Hire transit type (24 hr charge inc. VAT),1.32,7.5,1.99,,78.67,,,,,,
212217,"Chewing Gum/Bubble Gum, single pack",0.33,7.6,0.5,,79.17,,,,,,
410508,"Plumber (Daytime, hourly rate inc. call out & VAT)",1.52,7.7,2.29,,81.46,,,,,,
310315,BOTTLE OF WINE 70-75CL,3.09,7.8,4.65,,86.11,,,,,,
440105,"Driving school, 1 hour lesson (after 5pm)",0.18,7.8,0.27,,86.38,,,,,,
520332,Non NHS Chiropractor          ,0.8,7.8,1.2,,87.58,,,,,,
220321,TAKEAWAY COFFEE LATTE,1.03,7.9,1.55,,89.13,,,,,,
410516,Gas service charge (state hourly or complete),0.64,8,0.96,,90.09,,,,,,
520326,Basic private dental examination (no X-rays),0.88,8,1.32,,91.41,,,,,,
610236,Car repairs - labour per hour - local garage,4.8,8,7.23,,98.64,,,,,,
410517,Decorator-daily rate (specify number of hours),1.44,8.1,2.17,,100.81,,,,,,
440104,Dry Cleaning (Man's Suit),1,8.1,1.51,,102.32,,,,,,
430138,Home office desk,1,8.3,1.51,,103.83,,,,,,
510429,"Knitting wool, double knit, (acrylic/wool or mix), 100g",1.11,8.3,1.67,,105.5,,,,,,
430622,"Dog kennel fees, boarding (daily charge)",1.05,8.4,1.58,,107.08,,,,,,
440101,Hourly rate for Domestic Help (paid by customer),2.58,8.4,3.88,,110.96,,,,,,
440121,"Catering 50 people, set menu, cost per head",1.03,8.4,1.55,,112.51,,,,,,
520243,Liquid Foundation specify size,0.96,8.4,1.45,,113.96,,,,,,
520303,Women's Hairdressing (Cut & Blow Dry),2.48,8.4,3.73,,117.69,,,,,,
410509,"Electrician (Daytime, hourly rate inc. call out & VAT)",1.44,8.5,2.17,,119.86,,,,,,
430621,Annual booster injection (medium size dog),0.91,8.5,1.37,,121.23,,,,,,
520311,Women's highlighting,1.28,8.5,1.93,,123.16,,,,,,
610221,Windscreen wiper blade (state length/type),0.78,8.5,1.17,,124.33,,,,,,
610217,Oil filter (specify car),0.84,8.6,1.26,,125.59,,,,,,
220118,RESTAURANT MAIN COURSE 1,3.09,8.7,4.65,,130.24,,,,,,
430612,"Vet fees, spay kitten 6 months (not Pedigree)",0.98,8.7,1.48,,131.72,,,,,,
430503,"Ball Point (individual), disposable, (eg Bic)",0.65,8.8,0.98,,132.7,,,,,,
640226,Private health club/gym annual member (exc. Joining fee),0.72,8.9,1.08,,133.78,,,,,,
220213,STAFF RESTAURANT PUDDING,2.34,9,3.52,,137.3,,,,,,
440123,Home Removal - 1 Van,2.1,9,3.16,,140.46,,,,,,
610227,"MOT test fees, VAT EXEMPT",0.96,9,1.45,,141.91,,,,,,
220106,"Pub, cold filled roll/sandwich, state filling",3.09,9.1,4.65,,146.56,,,,,,
430133,"Bookcase, flatpack, self assembly (no drawers)",0.75,9.1,1.13,,147.69,,,,,,
520128,"Spectacle frames, designer (without lenses)",1.02,9.2,1.54,,149.23,,,,,,
610235,Car repairs - labour per hour - main dealer,4.8,9.2,7.23,,156.46,,,,,,
410610,Power Point (double socket),1.56,9.3,2.35,,158.81,,,,,,
430526,Greetings card (state code)    ,0.9,9.3,1.35,,160.16,,,,,,
440254,HOURLY RATE FOR SOLICITOR,1.43,9.4,2.15,,162.31,,,,,,
610231,Car Service - Local Garage,2.88,9.4,4.34,,166.65,,,,,,
410607,Paint Brush (2inch/5cm width),0.55,9.5,0.83,,167.48,,,,,,
410623,Hire domestic steam wallpaper stripper,0.24,9.5,0.36,,167.84,,,,,,
640222,"Leisure centre, charge for exercise class upto 1hr",0.4,9.5,0.6,,168.44,,,,,,
220117,BOTTLED MINERAL WATER,2.06,9.6,3.1,,171.54,,,,,,
220208,STAFF RESTAURNT HOT SNACK ITEM,2.47,9.6,3.72,,175.26,,,,,,
310306,"Bottle of mixer, 113-180ml size (eg tonic water)",1.03,9.7,1.55,,176.81,,,,,,
440126,Weekly Nanny Fees             ,1.56,9.7,2.35,,179.16,,,,,,
220107,"Pub, Hot meal (please specify)",4.12,9.8,6.2,,185.36,,,,,,
220116,LEMONADE/COLA DRAUGHT,2.06,9.8,3.1,,188.46,,,,,,
220209,PRIMARY SCHOOL- FIXED CHARGE,0.26,9.8,0.39,,188.85,,,,,,
220115,FRUIT JUICE,2.06,9.9,3.1,,191.95,,,,,,
440232,NURSERY FEES: CHILD 0-4,1.2,9.9,1.81,,193.76,,,,,,
610226,"Brake pads, two pairs (state car make/model)               ",0.84,9.9,1.26,,195.02,,,,,,
220119,RESTAURANT MAIN COURSE 2,3.09,10,4.65,,199.67,,,,,,
220120,IN STORE CAFETERIA MEAL,3.09,10.1,4.65,,204.32,,,,,,
220320,TAKEAWAY SOFT DRINK,1.03,10.1,1.55,,205.87,,,,,,
410611,"Door Handle, (pack for one door)",1.56,10.1,2.35,,208.22,,,,,,
440125,Gardener Hourly Rate          ,1.8,10.1,2.71,,210.93,,,,,,
220210,SECONDARY SCHOOL- CAFETERIA,0.39,10.3,0.59,,211.52,,,,,,
310307,Liqueur per nip (see help screen) specify ml,1.03,10.3,1.55,,213.07,,,,,,
410103,Private Rented Furnished property (see note),10.34,10.3,15.56,,228.63,,,,,,
430535,Sheet Of Wrapping Paper       ,0.95,10.3,1.43,,230.06,,,,,,
410101,Private Rented Unfurnished property (see note),9.87,10.4,14.86,,244.92,,,,,,
640219,"Swim Pool Admission, standard adult (off-peak)",0.4,10.4,0.6,,245.52,,,,,,
640224,"Ten-pin bowling, eve. session (per game)",0.4,10.4,0.6,,246.12,,,,,,
220212,STAFF RESTAURANT SANDWICH,2.6,10.6,3.91,,250.03,,,,,,
310301,WHISKY (PER NIP) SPECIFY ML,2.06,10.6,3.1,,253.13,,,,,,
310302,VODKA (PER NIP) SPECIFY ML,3.09,10.6,4.65,,257.78,,,,,,
410618,"Hardboard, specify sheet size, (e.g. 2440x1220mm/8x4ft)",0.88,10.6,1.32,,259.1,,,,,,
610212,Car battery,0.84,10.8,1.26,,260.36,,,,,,
620307,Self Drive Car Hire (24 hour basic charge inc. VAT),1.38,10.8,2.08,,262.44,,,,,,
220301,FISH & CHIPS TAKEAWAY,2.06,10.9,3.1,,265.54,,,,,,
310310,WINE (175ML GLASS),3.09,10.9,4.65,,270.19,,,,,,
430524,"Light Bulb, each (specify wattage)",0.6,10.9,0.9,,271.09,,,,,,
520214,Lipstick,0.96,10.9,1.45,,272.54,,,,,,
630340,Coarse Fishing Rod,0.64,10.9,0.96,,273.5,,,,,,
440233,NEWSPAPER AD NON TRADE 20 WORD,1.56,11,2.35,,275.85,,,,,,
310112,BOTTLE OF LAGER IN NIGHTCLUB,3.09,11.1,4.65,,280.5,,,,,,
211021,Chicken Kiew 2 Pack 250g (chilled not frozen),0.42,11.2,0.63,,281.13,,,,,,
310309,SPIRIT BASED DRINK 275ML,1.03,11.3,1.55,,282.68,,,,,,
640232,"Squash court, evening session (specify length)",0.4,11.3,0.6,,283.28,,,,,,
410628,Pair of basin taps (not mixer),2.75,11.4,4.14,,287.42,,,,,,
430118,"Sink, single drainer (specify material)",2.25,11.4,3.39,,290.81,,,,,,
520103,Lady's Umbrella (Folding),0.4,11.5,0.6,,291.41,,,,,,
212202,Original Polo Mints,0.33,11.6,0.5,,291.91,,,,,,
520223,Mascara,1.2,11.6,1.81,,293.72,,,,,,
630352,Child's swing,0.46,11.6,0.69,,294.41,,,,,,
212608,"Canned Sweetcorn, (198g-340g)",0.56,11.7,0.84,,295.25,,,,,,
410518,Carpenter Hourly Rate         ,1.44,11.7,2.17,,297.42,,,,,,
410625,Screwdriver (specify size and type),0.3,11.7,0.45,,297.87,,,,,,
430513,"Drycell Battery, pack of 4, state size (eg AA)",0.6,11.8,0.9,,298.77,,,,,,
440128,IN CARE HOME ASSISTANT RATE,1.92,11.8,2.89,,301.66,,,,,,
630510,Potting compost (specify size),0.65,11.8,0.98,,302.64,,,,,,
520324,Residential Home,3.84,11.9,5.78,,308.42,,,,,,
212402,"Potato Crisps, 25g/40g",0.84,12,1.26,,309.68,,,,,,
440127,MONTHLY SELF STORAGE FEE,1.43,12,2.15,,311.83,,,,,,
640233,Annual leisure centre membership (not private),0.72,12,1.08,,312.91,,,,,,
430515,Envelopes (specify size and number in packet),0.65,12.1,0.98,,313.89,,,,,,
410619,"Softwood, 1.6m-2.4m length",0.99,12.2,1.49,,315.38,,,,,,
510415,Women's Tights,1.04,12.3,1.57,,316.95,,,,,,
520240,Bar of Toilet Soap  (100-125G) ,0.48,12.3,0.72,,317.67,,,,,,
310106,CIDER-1/2PT OR 275-340ML BOT,2.06,12.4,3.1,,320.77,,,,,,
630318,35mm colour film (24 exposures),0.3,12.4,0.45,,321.22,,,,,,
430525,"Clear sticky tape, eg cellotape (specify size)",0.65,12.5,0.98,,322.2,,,,,,
520325,Nursing Home,3.69,12.5,5.55,,327.75,,,,,,
610303,Oil Per Litre (multigrade),0.35,12.5,0.53,,328.28,,,,,,
220324,CINEMA POPCORN,1.03,12.7,1.55,,329.83,,,,,,
520222,Multi-vitamins capsules/tablets (eg Sanatogen),1,12.7,1.51,,331.34,,,,,,
510510,Child's Wellington Boots,0.18,12.8,0.27,,331.61,,,,,,
212806,"Peanuts, 100g (roasted or salted) specify",0.72,12.9,1.08,,332.69,,,,,,
310104,DRAUGHT STOUT PER PINT,2.06,12.9,3.1,,335.79,,,,,,
410603,"Wallpaper Paste, specify coverage (5-20 rolls)",0.55,12.9,0.83,,336.62,,,,,,
630313,"Metal Model Toy, Diecast car (eg Matchbox)",1.61,12.9,2.42,,339.04,,,,,,
212211,Mars Bar (approx 62.5g),1.65,13,2.48,,341.52,,,,,,
310111,BOTTLED PREMIUM LAGER 4.3-7.5%,2.06,13,3.1,,344.62,,,,,,
410626,"Ceramic tile plain 15x15 - 25x20cm, (box of 6-44)",0.55,13,0.83,,345.45,,,,,,
410602,"Ready mixed Filler, interior use (430gm-1.8kg)",0.55,13.1,0.83,,346.28,,,,,,
220205,STAFF RESTAURANT MAIN COURSE,2.6,13.2,3.91,,350.19,,,,,,
440129,PLAYGROUP FEES - PER SESSION,1.68,13.2,2.53,,352.72,,,,,,
520130,"Solid gold ring, no stones, 9ct",0.98,13.2,1.48,,354.2,,,,,,
630342,Beginner's Acoustic Guitar,0.36,13.3,0.54,,354.74,,,,,,
630345,Golf Balls,0.64,13.3,0.96,,355.7,,,,,,
220303,SANDWICH-TAKE-AWAY,3.09,13.4,4.65,,360.35,,,,,,
510413,Men's Socks,0.52,13.4,0.78,,361.13,,,,,,
520202,"Indigestion Tablets, pack of 24, (eg Rennies)",1,13.4,1.51,,362.64,,,,,,
212914,Chocolate covered Ice Cream bar (e.g. Magnum),0.55,13.5,0.83,,363.47,,,,,,
310110,PREMIUM LAGER - PINT 4.3-7.5%,6.18,13.5,9.3,,372.77,,,,,,
520133,18 ct Gold Gemstone Ring      ,1.75,13.5,2.63,,375.4,,,,,,
520114,"Sterling silver earrings, plain (per pair)",0.56,13.6,0.84,,376.24,,,,,,
520230,Condoms (pack of 3 to 5)           ,0.36,13.6,0.54,,376.78,,,,,,
630505,Garden Spade,0.48,13.6,0.72,,377.5,,,,,,
310102,DRAUGHT BITTER (PER PINT),10.3,13.7,15.5,,393,,,,,,
610234,Brake fitting in fast fit centre for Ford Focus,2.88,13.8,4.34,,397.34,,,,,,
430623,Small Caged Mammal            ,0.35,13.9,0.53,,397.87,,,,,,
212214,Rowntrees Fruit Pastilles- tube,0.99,14,1.49,,399.36,,,,,,
430518,Dustbin Liners (pack of 10),0.45,14,0.68,,400.04,,,,,,
310109,LAGER - PINT 3.4-4.2%,6.18,14.1,9.3,,409.34,,,,,,
430613,"Dog food, can (390-400gm)",0.77,14.2,1.16,,410.5,,,,,,
510419,Men's Tie,0.81,14.3,1.22,,411.72,,,,,,
630335,Disposable camera with flash (24-27 exp),0.4,14.3,0.6,,412.32,,,,,,
410622,"Gloss paint, white (750ml - 2.5 litres)",0.88,14.4,1.32,,413.64,,,,,,
430617,Animal cage (e.g for gerbil/mouse),0.42,14.4,0.63,,414.27,,,,,,
212917,Tomato Ketchup (340-345g) bottle,0.24,14.5,0.36,,414.63,,,,,,
610223,Steering lock device,1.02,14.5,1.54,,416.17,,,,,,
630512,"Seeds, packet of vegetable (specify variety)",0.45,14.5,0.68,,416.85,,,,,,
430409,Scissors (Kitchen),0.84,14.6,1.26,,418.11,,,,,,
210319,"Doughnut, each",0.45,14.7,0.68,,418.79,,,,,,
520131,Gent's Watch - Analogue Face,1.4,14.7,2.11,,420.9,,,,,,
212215,"Bag of sweets, boiled/jellies, not choc (200-250g)",1.21,14.8,1.82,,422.72,,,,,,
610232,Car Service - Main Dealer     ,2.88,14.9,4.34,,427.06,,,,,,
410621,"Varnish, clear gloss, 750ml - 1 litre",0.55,15,0.83,,427.89,,,,,,
410629,Wallpaper Per Roll            ,0.88,15,1.32,,429.21,,,,,,
630434,"Book, illustrated for under 5's",0.85,15,1.28,,430.49,,,,,,
210204,Dry Spaghetti or pasta 500g,0.15,15.1,0.23,,430.72,,,,,,
610204,"Car tyre, Tubeless Radial (state size)",0.84,15.2,1.26,,431.98,,,,,,
211011,Individual meat pie (eg steak and kidney),1.26,15.3,1.9,,433.88,,,,,,
212207,"Smarties, small tube",0.55,15.3,0.83,,434.71,,,,,,
212222,Cadburys dairy milk (49g bar),2.42,15.3,3.64,,438.35,,,,,,
410605,"Paint, Emulsion, white (2.5 to 5 litres)",0.99,15.3,1.49,,439.84,,,,,,
430614,"Cat food, can (390-400gm)",1.26,15.3,1.9,,441.74,,,,,,
520106,9ct Gold Chain (16-18"/ 40-46cm),0.98,15.3,1.48,,443.22,,,,,,
520227,Pain Killer Tablets (pack of 16 or 24),1,15.3,1.51,,444.73,,,,,,
210302,Plain Biscuits (e.g. Digestive Biscuits) 200-300g,1.2,15.4,1.81,,446.54,,,,,,
211709,"Shop Milk, pasteurised, 4pt or 2ltr carton (specify)",1.69,15.4,2.54,,449.08,,,,,,
211710,"Shop milk, semi-skimmed, per 2 pints/1.136 litres",2.86,15.4,4.31,,453.39,,,,,,
212927,"Baby Food Can/Jar (state main meal/dessert, size)",0.08,15.4,0.12,,453.51,,,,,,
430413,Gas fire (state make & model),1.12,15.4,1.69,,455.2,,,,,,
510402,Men's Pants/Boxer shorts,0.52,15.4,0.78,,455.98,,,,,,
520206,"Tampons, pack of 10-16 (specify pack size)",1.2,15.4,1.81,,457.79,,,,,,
430505,"Aluminium cooking Foil, 300mm wide, state length",0.3,15.5,0.45,,458.24,,,,,,
520209,Toothpaste (specify size),1.68,15.6,2.53,,460.77,,,,,,
510406,Women's Pants,1.04,15.7,1.57,,462.34,,,,,,
212807,"Canned Fruit, 400-450g, (specify type)",0.56,15.9,0.84,,463.18,,,,,,
430229,Fabric roller blind,1.52,15.9,2.29,,465.47,,,,,,
210212,Basmati rice (500g),0.45,16,0.68,,466.15,,,,,,
211507,"Cheese Edam, per kg",0.39,16,0.59,,466.74,,,,,,
520234,Perfume/eau de toilette (men or women)       ,1.2,16,1.81,,468.55,,,,,,
630213,CD Single (Top 40),0.2,16,0.3,,468.85,,,,,,
440227,FUNERAL-CREMATION,1.69,16.3,2.54,,471.39,,,,,,
510411,Girl's Knickers (one pair),0.52,16.3,0.78,,472.17,,,,,,
630422,"Book, Reference, specify title/type (eg Atlas/Dictionary)",0.15,16.4,0.23,,472.4,,,,,,
630522,Decorative plant pot not plastic (10-20" diameter),0.2,16.4,0.3,,472.7,,,,,,
510416,Child's Socks,0.52,16.5,0.78,,473.48,,,,,,
211404,Cooking Oil - Vegetable 1 Litre,0.52,16.6,0.78,,474.26,,,,,,
410627,Aluminium step ladder (specify number of steps),0.3,16.6,0.45,,474.71,,,,,,
520228,Pack of Plasters (20-24 assorted),0.36,16.6,0.54,,475.25,,,,,,
630317,Sleeping Bag,0.64,16.6,0.96,,476.21,,,,,,
212219,Crunchie ,0.44,16.7,0.66,,476.87,,,,,,
211010,"Pork Pie, individual, (not buffet)",1.05,16.8,1.58,,478.45,,,,,,
630336,"Football, stitched, size 5 (specify material)",0.64,17,0.96,,479.41,,,,,,
210322,Kitkat (4 Finger Bar)         ,0.6,17.1,0.9,,480.31,,,,,,
212106,"Jar of jam, 340-454g, specify flavour",0.33,17.1,0.5,,480.81,,,,,,
630357,Squash/tennis racquet,0.64,17.2,0.96,,481.77,,,,,,
211016,"Cooked ham, loose, spec type (per 100g)",1.26,17.3,1.9,,483.67,,,,,,
212101,"Sugar - Granulated, white, per kg",0.22,17.3,0.33,,484,,,,,,
430530,Black Inkjet Cartridge (single pack),0.6,17.3,0.9,,484.9,,,,,,
620318,Adults Bicycle                ,0.93,17.4,1.4,,486.3,,,,,,
212601,"Canned Tomatoes, approx. 390-400g",0.28,17.5,0.42,,486.72,,,,,,
510501,"Men's Shoe, Leather uppers  (1)",0.36,17.5,0.54,,487.26,,,,,,
212603,"Baked Beans, (415-420g tin)",0.56,17.6,0.84,,488.1,,,,,,
430335,HAIR DRYER,0.96,17.6,1.45,,489.55,,,,,,
510407,Brassiere,1.04,17.6,1.57,,491.12,,,,,,
430226,"Floor rug, state size and material",1.19,17.7,1.79,,492.91,,,,,,
510515,Men's Shoe ,0.45,17.7,0.68,,493.59,,,,,,
630322,"Camera 35mm, Compact (not disposable)",0.4,17.7,0.6,,494.19,,,,,,
630514,Rosebush Floribunda/Hybrid Tea not full/half stnd,0.8,17.8,1.2,,495.39,,,,,,
211007,Canned Meat Stewed Steak approx. 400-425g,0.63,18,0.95,,496.34,,,,,,
212006,"Apple Juice, 1 litre carton",0.63,18,0.95,,497.29,,,,,,
320119,Vending Machine Cigarettes    ,1.3,18,1.96,,499.25,,,,,,
430422,Plain Glass Tumbler,0.56,18,0.84,,500.09,,,,,,
510330,Babygro or sleepsuit (each),0.52,18,0.78,,500.87,,,,,,
630353,Child's trike for under 5's,1.61,18,2.42,,503.29,,,,,,
210912,Frozen chicken breasts 500g-1.5kg,0.21,18.1,0.32,,503.61,,,,,,
430509,Household Cleaner Cream/Liquid (450-500ml),1.05,18.1,1.58,,505.19,,,,,,
210301,"Cream Crackers, packed, 200g",0.3,18.2,0.45,,505.64,,,,,,
520242,Cold/flu drink powder packet of 10 sachets,1,18.2,1.51,,507.15,,,,,,
630206,Blank Video Cassette (VHS/E180),0.1,18.2,0.15,,507.3,,,,,,
212010,"Mineral water, still, 2 litre bottle",0.72,18.3,1.08,,508.38,,,,,,
510255,Women's swimwear,0.52,18.3,0.78,,509.16,,,,,,
430419,Stainless steel cutlery set specify no of settings,0.35,18.4,0.53,,509.69,,,,,,
430507,Washing Up Liquid (400-600ml),0.45,18.4,0.68,,510.37,,,,,,
440130,AFTER SCHOOL CLUB CHARGES,1.08,18.4,1.63,,512,,,,,,
510527,Outdoor adventure boot (eg Timberland),0.63,18.4,0.95,,512.95,,,,,,
620317,Childs Bicycle                ,0.9,18.4,1.35,,514.3,,,,,,
212015,"Energy drink, 250-500ml (eg Red Bull, Lucozade) ",0.72,18.5,1.08,,515.38,,,,,,
211014,Sausages-pork-per kg          ,1.68,18.7,2.53,,517.91,,,,,,
211301,"Butter, Home produced, 250g",0.16,18.7,0.24,,518.15,,,,,,
212905,"Vegetable Pickle, 280-310g (e.g. Branston)",0.14,18.7,0.21,,518.36,,,,,,
210102,"Large Loaf, White unsliced, 800g ",0.45,18.8,0.68,,519.04,,,,,,
210201,"Flour, self raising 1.5kg",0.15,18.8,0.23,,519.27,,,,,,
510507,Boy's Shoes,0.36,19,0.54,,519.81,,,,,,
610233,Exhaust fitting in fast fit centre for Ford Focus,2.88,19,4.34,,524.15,,,,,,
210106,6 Bread Rolls White/Brown,0.6,19.2,0.9,,525.05,,,,,,
212018,Fizzy Canned Drink 330ml      ,1.08,19.2,1.63,,526.68,,,,,,
510106,MENS JEANS,1.56,19.2,2.35,,529.03,,,,,,
211806,Yoghurt/fromage frais (small individual)   ,1.17,19.3,1.76,,530.79,,,,,,
211809,Fresh single cream 284ml      ,0.26,19.3,0.39,,531.18,,,,,,
430325,Electric Convector Heater ,0.88,19.4,1.32,,532.5,,,,,,
430418,Single plastic food storage container with lid,0.84,19.6,1.26,,533.76,,,,,,
430531,Fabric Conditioner (1 Litre),0.45,19.6,0.68,,534.44,,,,,,
510522,Men's Leather Boot,0.18,19.6,0.27,,534.71,,,,,,
520121,Picture/Photo Frame (silver plated),1.32,19.6,1.99,,536.7,,,,,,
520226,Shampoo (250-400ml),0.72,19.6,1.08,,537.78,,,,,,
430227,Laminate flooring (eg tongue & groove) per sq.m,0.91,19.7,1.37,,539.15,,,,,,
430407,Saucepan (milk - non-stick),0.91,19.7,1.37,,540.52,,,,,,
212005,"Pure Orange Juice, 1 litre carton",0.99,19.9,1.49,,542.01,,,,,,
210415,"Home Killed beef, Braising steak per kg",0.42,20,0.63,,542.64,,,,,,
212923,"Cook-in sauce jar/can, 350-520g (eg bolognese)",0.3,20,0.45,,543.09,,,,,,
630332,Child's soft toy/teddy bear   ,0.92,20,1.38,,544.47,,,,,,
510526,Mens training shoe-footwear,0.72,20.1,1.08,,545.55,,,,,,
310421,Red Wine - European       ,2.25,20.2,3.39,,548.94,,,,,,
430215,"Washable Carpet, (e.g. Kitchen/Bathroom) per sq. metre",1.19,20.2,1.79,,550.73,,,,,,
212009,"Fruit drink carton with straw, 3 pack (200-290ml)",0.54,20.3,0.81,,551.54,,,,,,
630519,Potted shrub                  ,0.8,20.3,1.2,,552.74,,,,,,
410614,"Power Drill, Hammer Action",0.24,20.4,0.36,,553.1,,,,,,
211407,"Margarine/Low Fat Spread, 500g",0.96,20.5,1.45,,554.55,,,,,,
510508,Girl's Shoes (School),0.36,20.5,0.54,,555.09,,,,,,
510530,Womens' Shoes - Flat,1.08,20.5,1.63,,556.72,,,,,,
210211,"Cereal snack eg. Wotsits, Skips, single packet       ",0.9,20.7,1.35,,558.07,,,,,,
310205,"Cider, (1-2 litre bottle)",0.45,20.7,0.68,,558.75,,,,,,
520123,"Earrings, fashion, not solid gold or silver (state type)",0.63,20.7,0.95,,559.7,,,,,,
211808,Chilled pot dessert (non yoghurt) 50-200g,0.91,20.8,1.37,,561.07,,,,,,
510109,MEN'S FORMAL SHIRT-LONG SLEEVE,1.56,20.8,2.35,,563.42,,,,,,
630309,"Boxed board game, not travel type (specify)",1.61,20.8,2.42,,565.84,,,,,,
310417,Spirit based drink 275ml (see help screen),0.45,20.9,0.68,,566.52,,,,,,
430134,"Table lamp, with shade",0.75,20.9,1.13,,567.65,,,,,,
510324,"Trousers, suitable for school (5-15 years)",1.04,20.9,1.57,,569.22,,,,,,
510512,Child's trainers-footwear,0.36,20.9,0.54,,569.76,,,,,,
630312,"Plastic Doll, child's (eg Barbie/Action Man)",1.61,20.9,2.42,,572.18,,,,,,
212017,Fizzy Bottled Drink 500ml     ,0.9,21,1.35,,573.53,,,,,,
212910,Canned Soup (390-425g) ,0.18,21,0.27,,573.8,,,,,,
211304,"Butter, Imported, 250g",0.36,21.1,0.54,,574.34,,,,,,
510117,MEN'S FORMAL RDY-MADE TROUSERS,0.52,21.1,0.78,,575.12,,,,,,
630314,"Construction toy, specify kit no. (eg Lego)",2.76,21.1,4.15,,579.27,,,,,,
520213,Tissues (large size box),1.68,21.2,2.53,,581.8,,,,,,
211018,"Cooked meat, turkey sliced (100-113g)",0.63,21.3,0.95,,582.75,,,,,,
212008,"Lemonade, 2 litre bottle",0.27,21.3,0.41,,583.16,,,,,,
520118,Flower vase,1.61,21.3,2.42,,585.58,,,,,,
210108,"Pitta bread (state type, number in pack and weight)",0.6,21.5,0.9,,586.48,,,,,,
212922,"Chilled Ready-meal, serve one, (specify weight)",0.7,21.5,1.05,,587.53,,,,,,
212930,Mayonnaise (400g-500g)          ,0.2,21.5,0.3,,587.83,,,,,,
520237,Hair gel (150-200ml),0.72,21.6,1.08,,588.91,,,,,,
420103,"Smokeless Fuel, boiler/heater 50kg (specify brand)",0.18,21.7,0.27,,589.18,,,,,,
520216,"Deodorant, specify eg spray/roll-on (50-150ml)",0.96,21.7,1.45,,590.63,,,,,,
210213,Breakfast cereal 1 sweetened/chocolate coated,1.5,21.8,2.26,,592.89,,,,,,
210414,"Frozen Beefburgers, Pack of 4, specify weight",0.42,21.9,0.63,,593.52,,,,,,
